full_text,sentimen,detokenize_text
@UGM_FESS Msh mending APBN dikorupsi uangnya ada IKN ini bangunnya pake 'hutang' negara 40% 'dimakan' trs rakyat yg disuruh bayar rela ga sih??,Negatif,mending apbn korupsi uang ikn bangun pake hutang negara makan rakyat suruh bayar rela
@Mdy_Asmara1701 Wkwkwk tau ah gelap mau dpt Suara di kalimantan tapi harapan orang kalimantan tentang IKN di bunuh tentang kalimantan yg maju kami kalimantan memang hanya 10% suara nasional tak berpengaruh juga bagi kalian tapi dosa rasanya memilih orang,Negatif,wkwkwk gelap suara kalimantan harap orang kalimantan ikn bunuh kalimantan maju kalimantan suara nasional pengaruh dosa pilih orang
@adearmando61 Buang ke IKN sekalian gerombolannya termasuk armagendeng..,Negatif,buang ikn gerombol masuk armagendeng
@asumsico Makanya tutup aja itu IKN,Negatif,tutup ikn
@UncDeep Coba dana utk IKN di alihkan kan utk biaya pendidikan agar ank Indonesia semangat untuk nuntut ilmu Emang parahhhh Zaman pak lurah ni hancur minah,Negatif,coba dana ikn alih biaya didik anak indonesia semangat nuntut ilmu parahhhh zaman lurah hancur mah
Makanya jangan dipake ikn ama bansos doang lu gedein,Negatif,pakai ikn ama bansos
Bagaimana kita mau lanjutin IKN atau Program lainya Jokowi sendiri sdh memecah Rakyatnya sendiri. Semua Programnya penuh dengan Mesum . 9 tahun membangun hancur dg 1 tahun Mental Mesumnya .,Negatif,ikn program lai jokowi pecah rakyat program penuh mesum bangun hancur mental mesum
@Fahrihamzah Di mana negara kita kehabisan uang. Makan siang dan susu gratis dana desa 5m melanjutkan ikn melanjutkan food estate internet gratis,Negatif,negara habis uang makan siang susu gratis dana desa miliar ikn food estate internet gratis
@mooncakeslice anggaran pendidikan terutama beasiswa kena refocusing dulu buat IKN hehe,Negatif,anggar didik utama beasiswa kena refocusing ikn hehe
gile gile ni org semua vismisnya ngehamburin banyak dana lanjutin IKN skrg lah makan siang gratis triliunan per hari lah sumber pemasukan negara darimana? DARI UMKM dari pajak yg dinaikin. orgil mending duit gue ngalir ke guru guru penghasilan kecil drpd makan siang gratis,Negatif,gile gile orang vismisnya ngehamburin dana ikn makan siang gratis triliun sumber pasu negara darimana umkm pajak dinaikin orang gila mending duit ngalir guru guru hasil makan siang gratis
Saya mo bilang you could've so much more instead of IKN tp tersadar itu baru sekedar janji politiknya 01 pak @aniesbaswedan Kalo berani ttd kontrak politik bisa jg kemungkinan gaet suara mereka Semoga siapapun presidennya pulau selain Jawa lebih diperhatiin lagi Tp jgn 02 pls,Negatif,bilang you could much more instead ikn sadar dar janji politik berani ttd kontrak politik gaet suara moga presiden pulau jawa diperhatiin
GILA? akun yang menyuarakan keadaan kalimantan tadi dan bicara soal IKN penting tiba-tiba hilang? pdhl baru 600an yang like dan RT ini dia deactive atau karena banyak yang report? https://t.co/kbhsUPDO9s,Negatif,gila akun suara kalimantan bicara ikn hilang like deactive report
@ExNarkoboyz Kalo lihat survei LSI Denny JA hari ini ada kepastian IKN dan pembangunan Kalimantan dilanjutkan ️️,Positif,lihat survei lsi denny ikn bangun kalimantan
PGN juga terbuka untuk berkolaborasi dengan berbagai pihak guna membangun IKN pada sektor infrastruktur gas bumi. https://t.co/3QWfBRvtU4,Positif,pgn buka kolaborasi bangun ikn sektor infrastruktur gas bumi
@darashinaii @gsjslsjsh @ExNarkoboyz Dalah mbak diem aja udah nohh orng kalimantan sendiri kok yg merasakan dampak ada ikn. Kok mbaknya yg gk tinggal di ikn merasa paling tau bener,Negatif,dalah mbak diem nohh orng kalimantan dampak ikn mbak tinggal ikn bener
Tetap memperhatikan pelestarian lingkungan dalam upaya melanjutkan pembangunan IKN. Ganjar Mahfud presiden rakyat. #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/kuy5cFcx4x,Positif,perhati lestari lingkung upaya bangun ikn ganjar mahfud presiden rakyat ganjarmahfud ganjarpresidenrakyat gaspol
Cobadeh kalian sesekali liat update PT PP PT WIKA atau PT manapun deh yang sedang membangun IKN. Sebagus itu rancangan IKN dengan konsep kota ramah lingkungan. Kalo sampe itu ga dilanjut sedih sih membuang peluang yang sudah ada di depan mata.,Positif,cobadeh sekal liat update wika deh bangun ikn bagus rancang ikn konsep kota ramah lingkung sedih buang peluang mata
@howlydei @megatKT @asumsico Belum lagi abis revisi UU IKN akhir tahun kemaren sekarang udah ada yang mengatur pendanaan IKN skema pinjaman hutang limit pendanaan APBN-nya udah mau tercapai 20% makanya ngakalin pake cara lain ujung2nya ya hutang itu APBN,Negatif,habis revisi ikn kemaren atur dana ikn skema pinjam hutang limit dana apbn nya capai ngakalin pake ujung nya hutang apbn
250 Ribu CPNS Muda Akan Dites untuk Ditempatkan di IKN Maret Ini. IKN lanjut.... anies hanyut.... Pilih Prabowo yg melanjutkan IKN https://t.co/zhXC8YBXTQ,Negatif,ribu cpns muda tes ikn maret ikn anies hanyut pilih prabowo ikn
Kerja sat set melanjutkan IKN proyek yg sudah ada tinggal gaspoll membangun #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/oYgDiY9XHA,Positif,kerja sat set ikn proyek tinggal gaspoll bangun ganjarmahfud ganjarpresidenrakyat gaspol
@UGM_FESS lu tolol apa gimana ikn itu kalo anggarannya buat bensin bisa sejahtera rakyat bertahun tahun ikn cuma ikon tapi bikin anggaran membengkak fuck investor,Negatif,tolol gimana ikn anggar bensin sejahtera rakyat ikn ikon bikin anggar bengkak fuck investor
IKN lanjut tapi warga juga wajib dibahagiakan dan disejahterakan #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/OwRk41B5Jl,Positif,ikn warga wajib bahagia sejahtera ganjarmahfud ganjarpresidenrakyat gaspol
Ganjar Mahfud siap melanjutkan program ikn dengan sat set #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/NYjJottkQR,Positif,ganjar mahfud program ikn sat set ganjarmahfud ganjarpresidenrakyat gaspol
KemenPAN-RB akan memperketat seleksi ASN yang akan dipindah ke IKN Nusantara. https://t.co/BEQRpG9EUZ,Positif,kemenpan ketat seleksi asn pindah ikn nusantara
DIBACA GUYS! IKN itu penting jangan karena kampanye politik langsung mudah percaya dan yakin kalo IKN ga sepenting itu buat rakyat dan negara Siapapun presiden selanjutnya harus melanjutkan IKN. Rencana IKN sudah sejak zaman Bung Karno (Palangkaraya) dan Pak Harto (Jonggol),Positif,baca guys ikn kampanye politik langsung mudah percaya ikn rakyat negara presiden ikn rencana ikn zaman karno palangkaraya harto jonggol
@tvOneNews Ikn Dan food estate dipaksakan bisa di cek siapa sj yg punya lahan disitu siapa sj yg mendapatkan proyeknya ini adalah transaksi yg dimulai dgn yg namanya konsolidasi yg mengatasnamakan keutuhan negara. Silakan cek n ricek akan paham. Tdk mungk,Negatif,ikn food estate paksa cek lahan situ proyek transaksi nama konsolidasi mengatasnamakan utuh negara sila cek ricek paham mungk
@asalbukanprabwo @kenzojaya_ @mardigu024 Kalteng juga banyak yang menolak IKN lagipula jarak dari Kalteng ke IKN jauh juga bisa 4 hari an wkwkk mungkin dia orang penajam nya kali,Negatif,kalteng tolak ikn lagipula jarak kalteng ikn wkwkk orang najam nya kali
@NenkMonica Wkwkwk Diliat dulu fraksi mana saja yg setuju ruu ikn Perasaan cuma pks yg nolak,Negatif,wkwkwk liat fraksi tuju ruu ikn asa pks nolak
@ExNarkoboyz Bapak ku aja yg dari 2013 merantau juga bilang jaman ikn diadakan perubahan besar buat Kalimantan mana udah gak kyk dlu yg sering mati lampunya bisa berhari hari pulapokonya udah gak kayak dlu yg hutab doang jalan aja mulus skrg,Positif,rantau bilang jaman ikn ubah kalimantan dlu mati lampu pulapokonya dlu hutab jalan mulus
Hunian PNS dan Rumah Menteri di IKN Nusantara Bakal Tersambung Jaringan Gas Bumi https://t.co/JX1pvPv8hm,Positif,huni pns rumah menteri ikn nusantara sambung jaring gas bumi
@UGM_FESS Sebenernya maunya IKN atau maunya pemerataan nih ?,Negatif,sebenernya ikn perata
https://t.co/pABNrYsmdF Mungkinkah Robot Akan Menggantikan Manusia di IKN? Ini Kata Kepala Otorita #BANSOSLANJUT3 #Politik #Fahri #Pemilu2024AmanDamai,Positif,robot ganti manusia ikn kepala otorita bansoslanjut politik fahri milu amandamai
@UGM_FESS kurasa kl melihat stance dan cara kerja pak anies gak bakal sampe dianggurin deh krn itu bakal tambah ngerugiin masyarakat sana dan negara. kurasa dia malah akan bikin pembangunan IKN lebih menyejahterakan masyarakat lokal like what he did to ka,Positif,lihat stance kerja anies dianggurin deh ngerugiin masyarakat negara bikin bangun ikn sejahtera masyarakat lokal like what did
Apakah kalau IKN sudah resmi JKT48 bakal jadi IKN48 ? saya bukan fansnya soalnya.,Negatif,ikn resmi jkt ikn fansnya
@tempodotco Lalu bentuk tim untuk pengkajian IKN PSN &amp,Positif,bentuk tim kaji ikn psn
@UGM_FESS IKN dilanjut tp perlu dikaji ulang. Pak anies sbg akademisi/teknokrat gabisa memutuskan sebelum riset. mahasiswa harusnya paham ini kita blm bisa ambil kesimpulan sebelum ada data yg dibahas/dikaji pak anies udh berkali2 bilang apbn akan sesuai,Positif,ikn kaji ulang anies akademisi teknokrat gabisa putus riset mahasiswa paham ambil simpul data bahas kaji anies kali bilang apbn sesuai
@UGM_FESS Drpd ikn mending lu selametin jakarta dr tenggelam 2050,Negatif,ikn mending selametin jakarta tenggelam
Otorita Ibu Kota Nusantara Tegaskan Pembangunan IKN Dipastikan Tidak Mengganggu Ekosistem Lingkungan di Kalimantan https://t.co/zOh9DJj29i,Positif,otorita kota nusantara bangun ikn ganggu ekosistem lingkung kalimantan
Harusnya disubsudi negara bu. Mosok bangun IKN duit ada subsidi uang kuliah ga ada hadeh,Negatif,disubsudi negara mosok bangun ikn duit subsidi uang kuliah hadeh
@G0P4NK_G0P4NG_7 @Mdy_Asmara1701 @Dharmas56190807 @aniesbaswedan Kamu gak baca isinya Coba tunjukkan perkataan anies menolak IKN Gak bakal ada,Negatif,baca isi coba anies tolak ikn
@UGM_FESS Buat sekarang IKN nggak ada untungnya untuk Indonesia,Negatif,ikn untung indonesia
@dyingmagnolia_ @UGM_FESS Kalau dari sisi investor percuma bangun apapun di Kota situ karena ga ada jaminan bakal rame secara ekonomi nah dengan dibangunnya IKN investor tuh bisa dapet kepastian loh buat nggak ragu ngebangun fasilitas di kota mbaknya,Positif,sisi investor bangun kota situ jamin rame ekonomi bangun ikn investor dapet ragu ngebangun fasilitas kota mbak
@txtdrbekasi Malah Bangun kereta cepat bangun ikn. Sementara bNyak hal dasar yg masih perlu dibangun. Proyekan cuan doang.,Negatif,bangun kereta cepat bangun ikn bnyak dasar bangun proyek cuan
begitupun dgn PSN lainnya (ikn itu termasuk psn) kata beliau sih bakal ada tinjau ulang buat mana yg prioritas mana yang engga,Negatif,psn ikn masuk psn beliau tinjau ulang prioritas
@G0P4NK_G0P4NG_7 @Mdy_Asmara1701 @Dharmas56190807 @aniesbaswedan Baca isinya Jgn judul doang Kpn ada pernyataan anies tolak IKN?? Dlm UU IKN tdk ada batasan wkt kpn hrs slesai &amp,Positif,baca isi judul nyata anies tolak ikn ikn batas wkt selesai
@UGM_FESS IKN gak diberhentikan ya nder gk bakal mangkrak cuma dikaji ulang... dan di dahulukan anggarannya untuk kepentingan2 URGENT... kmu Cari aja desak anies keywordnya IKN di yt/tt disitu pak anies jelasin sedetail2nya kalau IKN dikaji ulang bukan di,Positif,ikn henti nder mangkrak kaji ulang anggar urgent kmu cari desak anies keywordnya ikn situ anies jelasin detail nya ikn kaji ulang
Seperti ini mau dilanjutin ? Serius..?? Dari 2019 berapa janji kampanye yg tercapai jokowi ? Malah IKN dan PSN yg menguntungkan pihak² yg disebutkan PPATK secara gamblang. Negara ini bukan milik segelintir orang yg serakah demi ambisi membuat rakyat bunuh diri...,Negatif,dilanjutin serius janji kampanye capai jokowi ikn psn untung ppatk gamblang negara milik gelintir orang serakah ambisi rakyat bunuh
@kenzojaya_ @Mdy_Asmara1701 Ditunda sementara gegara lebih mentingin pemerataan sosial ekonomi wilayah Indonesia biar ga timpang tindih. Ikn juga yang nempatin pemerintah pusat ekonomi tetep aja di daerah Jabodetabekjur yang bakal jadi wilayah aglomerasi,Negatif,tunda gegara mentingin perata sosial ekonomi wilayah indonesia biar timpang tindih ikn nempatin perintah pusat ekonomi daerah jabodetabekjur wilayah aglomerasi
Pemerintah sedang matangkan rencana pemindahan ASN ke IKN https://t.co/31sipXJIzU,Positif,perintah matang rencana pindah asn ikn
IKN Nusantara akan memberikan dampak positif bagi bangsa Indonesia #KotaDuniaUntukSemua https://t.co/AT2UhR5uvE,Positif,ikn nusantara dampak positif bangsa indonesia kotaduniauntuksemua
IKN Nusantara akan memberikan dampak positif bagi bangsa Indonesia #KotaDuniaUntukSemua https://t.co/ofJ2SaCeix,Positif,ikn nusantara dampak positif bangsa indonesia kotaduniauntuksemua
IKN Nusantara akan memberikan dampak positif bagi bangsa Indonesia #KotaDuniaUntukSemua https://t.co/gzLo6EdNEQ,Positif,ikn nusantara dampak positif bangsa indonesia kotaduniauntuksemua
@VIVAcoid Melanjutkan ikn yang ga guna itu maksud Lo????,Negatif,ikn maksud
Pemerintah sedang menyiapkan kuota khusus bagi masyarakat lokal yang hendak menjadi pegawai negeri sipil di IKN Nusantara. https://t.co/S6BBzSUfFh,Positif,perintah kuota khusus masyarakat lokal pegawai negeri sipil ikn nusantara
@howlydei @megatKT @asumsico Ya bikin skema hutang baru (jual SBN kan bisa). Itu IKN dan Bansos waktu Covid ya sebagian besar dari SBN jangka panjang (ada yg tenor 50 tahun). Cuma kendalanya tingkat fraud (kejahatan) keuangan di Indonesia ini sangat tingg,Negatif,bikin skema hutang jual sbn ikn bansos covid sbn jangka tenor kendala tingkat fraud jahat uang indonesia tingg
@ExNarkoboyz justru IKN bukan pemerataan bego banget dah ah,Negatif,ikn perata bodoh
Menteri PPN/Kepala Bappenas Suharso Monoarfa membantah tudingan investor enggan masuk ke proyek Ibu Kota Negara (IKN) Nusantara. https://t.co/tJcgYGQHHK,Positif,menteri ppn kepala bappenas suharso monoarfa ban tuding investor enggan masuk proyek kota negara ikn nusantara
kalo emg IKN ini simbol pemerataan pembangunan dari segi mana yg rata? ini cuma mindahin. bahkan daerah Kalimantan yg lain (di luar daerah IKN) ga dapet apa2. org Sumatra Papua dapet apa dari IKN? IKN kan proyek nasional skala besar. tp yg dpet manfaatnya cm itu2 aja.,Negatif,ikn simbol perata bangun segi mindahin daerah kalimantan daerah ikn dapet orang sumatra papua dapet ikn ikn proyek nasional skala dpet manfaat
-org2 ga perlu lg merantau ke ibu kota semua. IKN lanjut itu sama artinya menciptakan 'Jakarta' baru. orang2 kedepannya ttep akan merantau kesana. yg puluhan taun mendatang bisa aja daerah IKN ngalamin isu iklim &amp,Negatif,orang rantau kota ikn arti cipta jakarta orang rantau kesana puluh daerah ikn alami isu iklim
IKN juga gitu. jakarta full pembangunan gak merata solusinya: dipindah. padahal pertanyaannya kenapa jkt overload? knp org berbondong2 urbanisasi ke jkt? di jkt ada apa? solusi AMIN ya bikin kota kayak jkt tp ada 40. pembangunan lebih merata semua kota dapet manfaatnya,Positif,ikn jakarta full bangun solusi pindah jkt overload orang bondong urbanisasi jkt jkt solusi amin bikin kota jkt bangun kota dapet manfaat
mulai masuk akal klo program upgrade 40 kota setara Jakarta itu lebih baik drpd IKN. lagi-lagi IKN ini kayak program susu dan makan gratis solusi instan. stunting ya dikasih makan. Jakarta full ya dipindah.,Negatif,masuk akal program upgrade kota tara jakarta ikn ikn program susu makan gratis solusi instan stunting kasih makan jakarta full pindah
prinsipnya dia mau memberi kesempatan ke semua kalangan. IKN itu program dg budget yg byk. kalo lanjut yg dapet manfaat cm org itu2 aja (Jakarta daerah IKN pemerintah dll). apalagi pas aku baca berita IKN ini didasari sbg simbol pembangunan. budget segitu untuk simbol?,Negatif,prinsip kalang ikn program budget dapet manfaat orang jakarta daerah ikn perintah pas baca berita ikn dasar simbol bangun budget segitu simbol
Gue paham kok grand design dipikiran Bos besar dengan pembangunan IKN dan juga pembangunan KC. but man... utopis,Negatif,paham grand design pikir bos bangun ikn bangun but man utopis
random bgt lagi baca berita perencanaan tata kota IKN ada yg komen rental psnya nanti dmn min,Negatif,random baca berita rencana tata kota ikn komen rental psnya dmn min
AHY Khawatir Pembangunan IKN Mangkrak Rakyat Jadi Menderita https://t.co/sMlhbSK6YI,Negatif,ahy khawatir bangun ikn mangkrak rakyat derita
@AgusYudhoyono Sekedar info mas coba tanya sama bawahan mas Siapa yang memguasai lahan disekitar IKN pasti anda tercenagang mendengarnya apa berani menertibkan penguasa lahan² disekitar IKN atau Kaltim dan sekitarnya #Cumananya,Negatif,dar info mas coba mas memguasai lahan ikn tercenagang dengar berani tertib kuasa lahan ikn kaltim cumananya
@cobeh2022 ya biarin wowok pindah ke IKN,Negatif,biarin wowok pindah ikn
IKN Nusantara🇮🇩️,Positif,ikn nusantara
IKN Nusantara,Positif,ikn nusantara
Jd inget pas anaknya ditanyain investor IKN luar negeri malah nyuruh googling,Negatif,inget pas anak ditanyain investor ikn negeri nyuruh googling
@qization Coba Chek ulang deh kak. Soalnya yang dipakai untuk IKN itu Hutan Monokultur. Walaupun gak ada IKN pohonnya akan tetap ditebang untuk industri kertas dan tissue. https://t.co/kkPkL2mmwi,Positif,coba chek ulang deh kak pakai ikn hutan monokultur ikn pohon tebang industri kertas tissue
TKN Prabowo-Gibran: Ada Capres Ketemu Dubes Israel di Singapura dan Tolak IKN serta Hilirisasi https://t.co/l4nMjBNlT8,Negatif,tkn prabowo gibran capres ketemu dubes israel singapura tolak ikn hilir
@abenriebe Iya dan kehadiran proyek IKN yg sarat sampah dan limbah itu akan semakin memperparah situasi yg emang sudah rusak sejak lama bwang https://t.co/KKnFk5R6Sg,Negatif,iya hadir proyek ikn sarat sampah limbah parah situasi rusak bwang
@tvOneNews @tvOneNews Sebelumnya Juli 2023: IKN kurang logis karena perekonomian dan kondisi masyarakat Indonesia sedang tidak baik-baik saja,Negatif,juli ikn logis ekonomi kondisi masyarakat indonesia
