"full_text","sentimen"
"@dyingmagnolia_ @MrxStaein52986 @UGM_FESS orang di jalanan. sesepi itu. makanya butuh insentif untuk transmigrasi. kalimantan timur baru sering naik ke publik untuk diperbincangkan setelah ada ikn. jalur kereta kalimantan yang bakal dibangun di 2025 juga","Positif"
"@Hansunriko Dukung IKN","Positif"
"@dyingmagnolia_ @MrxStaein52986 @UGM_FESS karena orangnya kurang kak. kalo dari sisi investor gaada timbal balik yang mungkin didapat kalo bangun ini itu di wilayah sekitar ikn (penajam paser kukar) karena orangnya terlalu dikit. dengan adanya ikn yang me","Negatif"
"@Nidyna10 IKN jos","Positif"
"@Akomeng6 Mantap IKN","Positif"
"bagaimana kalau dana masjid 1 T di ikn dipake buat beasiswa aja bu?","Negatif"
"@UGM_FESS Banyak bgt yg kena framming soal 01 gak mau lanjutin IKN lah anti hilirisasi lah. Pdhl sdh dijelaskan berkali2 bahkan soal hilirisasi ada di visi misinya. Tp lawan politik yg selama ini main framming dan banyak jg yg memakannya mentah2.","Negatif"
"@jackstr20802415 @KompasTV @prabowo Lah bukannya IKN masih perlu banyak investor asing? Kok jadi plin-plan gini https://t.co/2yvpv0UOC3","Negatif"
"@CNNIndonesia Bagaimana bila dimulai dari Presiden beserta seluruh anggota kabinetnya dites untuk ditempatkan di IKN sampai masa jabatan berakhir. Hanya saran lo yaa jangan baper.....","Negatif"
"@manasayatahoe wes cabut ok ikn","Negatif"
"@FaraayuM @kompascom @AbanggSayur Lagian Lu juga kaga di ajak di IKN","Negatif"
"IKN Nusantara🇮🇩 Menteri Basuki menjelaskan China kini sudah mempunyai teknologi kereta tanpa rel. Studi banding pun dilakukan untuk mempelajari hal tersebut. Maklum pembuatan kereta tanpa rel itu memang melibatkan perusahaan dari Negeri Tirai Bambu. _ Pondok Ranji Uzbekistan https://t.co/Ez3Z7j5RwW","Negatif"
"@KompasTV Kpk sekarang ada dibawah presiden emang kpk punya nyali bisa2 pegawainya di mutasi ke ikn","Negatif"
"@MrxStaein52986 @UGM_FESS padahal di sini produksi tambangnya paling besar di Indonesia tapi hasilnya gapernah ke masyarakat sekitar. Sebenernya ya gausah dari sisi investor pemerintahnya yang ga pernah perhatiin kota2 di kalimantan. Dengan dibangun IKN g","Negatif"
"@Ilustrator23 @kompascom @AbanggSayur Sapa bilang?? Lu aja kali gw kaga wkwk. Blunder amat tuh pilihnlu tu kmrin gk mau nerusin IKN mnding bngun 40 kota skrg ikut²n. Tiap bulan gnti trs nih yg mna btul tukang sayur","Negatif"
"dan untuk siapa capres yang akan gua pilih gua akan tetap merahasiakan pilihan gua tapi i wish siapapun nanti presiden nya plisss jangan stop pembangunan IKN DANN YANG PALING PENTING DARI GUA PILIH PEMIMPIN YANG NGGA ANTI KRITIK","Positif"
"@qioraqira6 @aniesbaswedan IKN (inget kesulitan negara) dong..","Negatif"
"@JackStand18 @KompasTV Ha ha ha doa 80% rakyat pendukung Jokowi ikn segera selesai tahap 1 biar tahap 2 dilanjut presiden PRABOWO.","Negatif"
"@arifin34533 IKN dan borok jokowi se fokusnya. Sdh bukan rahasia lagi klo IKN itu ambisi jokowi dan udah bisa ditebak pasti jokowi punya borok","Negatif"
"Duit buat bangun IKN yg ga berguna itu harusnya bisa untk hal yg jauh lebih bermanfaat semacam beasiswa atau paling gak subsidi UKT. Negara hadir kalau belum bisa menggratiskan paling tidak meringankan. Tapi si anu itu mikirnya gimana udh ga ngerti lagi saya..","Negatif"
"berbeda dari kebanyakan ortu ibukku malah ga ngizinin ikut test cpns lagi (takut dipindah ke ikn) oke buk aku yo emoh","Negatif"
"@pemudajawa Coba pak mungkin di exercise sekolah kedinasan di segala K/L total habis brp T Siapa tau duitnya bisa buat bikin jalan di IKN sekaligus penyerapan lapangan kerja dengan CPNS lebih banyak","Negatif"
"@Mdy_Asmara1701 @riv4lism Yg bener itu IKN spy jabatan tdk macet...","Negatif"
"@tvOneNews Amin.. lanjutkan ikn","Positif"
"CPNS 2024 Akan Ditempatkan di IKN PANRB: Akan Mendapatkan Tunjangan Khusus https://t.co/qYOetoh3P5","Positif"
"@yangmi3prnew Kenapa dinamai SEPAKU ? Pasti gag ada yg tahu bahkan inisiator IKN pun tak tahu Tapi tetep semoga bisa terlaksana Upacara 17 Agustus 2024","Negatif"
"@UGM_FESS Msh mending APBN dikorupsi uangnya ada IKN ini bangunnya pake 'hutang' negara 40% 'dimakan' trs rakyat yg disuruh bayar rela ga sih??","Negatif"
"@Mdy_Asmara1701 Wkwkwk tau ah gelap mau dpt Suara di kalimantan tapi harapan orang kalimantan tentang IKN di bunuh tentang kalimantan yg maju kami kalimantan memang hanya 10% suara nasional tak berpengaruh juga bagi kalian tapi dosa rasanya memilih orang","Negatif"
"@adearmando61 Buang ke IKN sekalian gerombolannya termasuk armagendeng..","Negatif"
"@asumsico Makanya tutup aja itu IKN","Negatif"
"@UncDeep Coba dana utk IKN di alihkan kan utk biaya pendidikan agar ank Indonesia semangat untuk nuntut ilmu Emang parahhhh Zaman pak lurah ni hancur minah","Negatif"
"Makanya jangan dipake ikn ama bansos doang lu gedein","Negatif"
"Bagaimana kita mau lanjutin IKN atau Program lainya Jokowi sendiri sdh memecah Rakyatnya sendiri. Semua Programnya penuh dengan Mesum . 9 tahun membangun hancur dg 1 tahun Mental Mesumnya .","Negatif"
"@Fahrihamzah Di mana negara kita kehabisan uang. Makan siang dan susu gratis dana desa 5m melanjutkan ikn melanjutkan food estate internet gratis","Negatif"
"@mooncakeslice anggaran pendidikan terutama beasiswa kena refocusing dulu buat IKN hehe","Negatif"
"gile gile ni org semua vismisnya ngehamburin banyak dana lanjutin IKN skrg lah makan siang gratis triliunan per hari lah sumber pemasukan negara darimana? DARI UMKM dari pajak yg dinaikin. orgil mending duit gue ngalir ke guru guru penghasilan kecil drpd makan siang gratis","Negatif"
"Saya mo bilang you could've so much more instead of IKN tp tersadar itu baru sekedar janji politiknya 01 pak @aniesbaswedan Kalo berani ttd kontrak politik bisa jg kemungkinan gaet suara mereka Semoga siapapun presidennya pulau selain Jawa lebih diperhatiin lagi Tp jgn 02 pls","Negatif"
"GILA? akun yang menyuarakan keadaan kalimantan tadi dan bicara soal IKN penting tiba-tiba hilang? pdhl baru 600an yang like dan RT ini dia deactive atau karena banyak yang report? https://t.co/kbhsUPDO9s","Negatif"
"@ExNarkoboyz Kalo lihat survei LSI Denny JA hari ini ada kepastian IKN dan pembangunan Kalimantan dilanjutkan ️️","Positif"
"PGN juga terbuka untuk berkolaborasi dengan berbagai pihak guna membangun IKN pada sektor infrastruktur gas bumi. https://t.co/3QWfBRvtU4","Positif"
"@darashinaii @gsjslsjsh @ExNarkoboyz Dalah mbak diem aja udah nohh orng kalimantan sendiri kok yg merasakan dampak ada ikn. Kok mbaknya yg gk tinggal di ikn merasa paling tau bener","Negatif"
"Tetap memperhatikan pelestarian lingkungan dalam upaya melanjutkan pembangunan IKN. Ganjar Mahfud presiden rakyat. #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/kuy5cFcx4x","Positif"
"Cobadeh kalian sesekali liat update PT PP PT WIKA atau PT manapun deh yang sedang membangun IKN. Sebagus itu rancangan IKN dengan konsep kota ramah lingkungan. Kalo sampe itu ga dilanjut sedih sih membuang peluang yang sudah ada di depan mata.","Positif"
"@howlydei @megatKT @asumsico Belum lagi abis revisi UU IKN akhir tahun kemaren sekarang udah ada yang mengatur pendanaan IKN skema pinjaman hutang limit pendanaan APBN-nya udah mau tercapai 20% makanya ngakalin pake cara lain ujung2nya ya hutang itu APBN","Negatif"
"250 Ribu CPNS Muda Akan Dites untuk Ditempatkan di IKN Maret Ini. IKN lanjut.... anies hanyut.... Pilih Prabowo yg melanjutkan IKN https://t.co/zhXC8YBXTQ","Negatif"
"Kerja sat set melanjutkan IKN proyek yg sudah ada tinggal gaspoll membangun #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/oYgDiY9XHA","Positif"
"@UGM_FESS lu tolol apa gimana ikn itu kalo anggarannya buat bensin bisa sejahtera rakyat bertahun tahun ikn cuma ikon tapi bikin anggaran membengkak fuck investor","Negatif"
"IKN lanjut tapi warga juga wajib dibahagiakan dan disejahterakan #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/OwRk41B5Jl","Positif"
"Ganjar Mahfud siap melanjutkan program ikn dengan sat set #GanjarMahfud2024 #ganjarpresidenrakyat #3GASPOL https://t.co/NYjJottkQR","Positif"
"KemenPAN-RB akan memperketat seleksi ASN yang akan dipindah ke IKN Nusantara. https://t.co/BEQRpG9EUZ","Positif"
"DIBACA GUYS! IKN itu penting jangan karena kampanye politik langsung mudah percaya dan yakin kalo IKN ga sepenting itu buat rakyat dan negara Siapapun presiden selanjutnya harus melanjutkan IKN. Rencana IKN sudah sejak zaman Bung Karno (Palangkaraya) dan Pak Harto (Jonggol)","Positif"
"@tvOneNews Ikn Dan food estate dipaksakan bisa di cek siapa sj yg punya lahan disitu siapa sj yg mendapatkan proyeknya ini adalah transaksi yg dimulai dgn yg namanya konsolidasi yg mengatasnamakan keutuhan negara. Silakan cek n ricek akan paham. Tdk mungk","Negatif"
"@asalbukanprabwo @kenzojaya_ @mardigu024 Kalteng juga banyak yang menolak IKN lagipula jarak dari Kalteng ke IKN jauh juga bisa 4 hari an wkwkk mungkin dia orang penajam nya kali","Negatif"
"@NenkMonica Wkwkwk Diliat dulu fraksi mana saja yg setuju ruu ikn Perasaan cuma pks yg nolak","Negatif"
"@ExNarkoboyz Bapak ku aja yg dari 2013 merantau juga bilang jaman ikn diadakan perubahan besar buat Kalimantan mana udah gak kyk dlu yg sering mati lampunya bisa berhari hari pulapokonya udah gak kayak dlu yg hutab doang jalan aja mulus skrg","Positif"
"Hunian PNS dan Rumah Menteri di IKN Nusantara Bakal Tersambung Jaringan Gas Bumi https://t.co/JX1pvPv8hm","Positif"
"@UGM_FESS Sebenernya maunya IKN atau maunya pemerataan nih ?","Negatif"
"https://t.co/pABNrYsmdF Mungkinkah Robot Akan Menggantikan Manusia di IKN? Ini Kata Kepala Otorita #BANSOSLANJUT3 #Politik #Fahri #Pemilu2024AmanDamai","Positif"
"@UGM_FESS kurasa kl melihat stance dan cara kerja pak anies gak bakal sampe dianggurin deh krn itu bakal tambah ngerugiin masyarakat sana dan negara. kurasa dia malah akan bikin pembangunan IKN lebih menyejahterakan masyarakat lokal like what he did to ka","Positif"
"Apakah kalau IKN sudah resmi JKT48 bakal jadi IKN48 ? saya bukan fansnya soalnya.","Negatif"
"@tempodotco Lalu bentuk tim untuk pengkajian IKN PSN &amp","Positif"
"@UGM_FESS IKN dilanjut tp perlu dikaji ulang. Pak anies sbg akademisi/teknokrat gabisa memutuskan sebelum riset. mahasiswa harusnya paham ini kita blm bisa ambil kesimpulan sebelum ada data yg dibahas/dikaji pak anies udh berkali2 bilang apbn akan sesuai","Positif"
"@UGM_FESS Drpd ikn mending lu selametin jakarta dr tenggelam 2050","Negatif"
"Otorita Ibu Kota Nusantara Tegaskan Pembangunan IKN Dipastikan Tidak Mengganggu Ekosistem Lingkungan di Kalimantan https://t.co/zOh9DJj29i","Positif"
"Harusnya disubsudi negara bu. Mosok bangun IKN duit ada subsidi uang kuliah ga ada hadeh","Negatif"
"@G0P4NK_G0P4NG_7 @Mdy_Asmara1701 @Dharmas56190807 @aniesbaswedan Kamu gak baca isinya Coba tunjukkan perkataan anies menolak IKN Gak bakal ada","Negatif"
"@UGM_FESS Buat sekarang IKN nggak ada untungnya untuk Indonesia","Negatif"
"@dyingmagnolia_ @UGM_FESS Kalau dari sisi investor percuma bangun apapun di Kota situ karena ga ada jaminan bakal rame secara ekonomi nah dengan dibangunnya IKN investor tuh bisa dapet kepastian loh buat nggak ragu ngebangun fasilitas di kota mbaknya","Positif"
"@txtdrbekasi Malah Bangun kereta cepat bangun ikn. Sementara bNyak hal dasar yg masih perlu dibangun. Proyekan cuan doang.","Negatif"
"begitupun dgn PSN lainnya (ikn itu termasuk psn) kata beliau sih bakal ada tinjau ulang buat mana yg prioritas mana yang engga","Negatif"
"@G0P4NK_G0P4NG_7 @Mdy_Asmara1701 @Dharmas56190807 @aniesbaswedan Baca isinya Jgn judul doang Kpn ada pernyataan anies tolak IKN?? Dlm UU IKN tdk ada batasan wkt kpn hrs slesai &amp","Positif"
"@UGM_FESS IKN gak diberhentikan ya nder gk bakal mangkrak cuma dikaji ulang... dan di dahulukan anggarannya untuk kepentingan2 URGENT... kmu Cari aja desak anies keywordnya IKN di yt/tt disitu pak anies jelasin sedetail2nya kalau IKN dikaji ulang bukan di","Positif"
"Seperti ini mau dilanjutin ? Serius..?? Dari 2019 berapa janji kampanye yg tercapai jokowi ? Malah IKN dan PSN yg menguntungkan pihak² yg disebutkan PPATK secara gamblang. Negara ini bukan milik segelintir orang yg serakah demi ambisi membuat rakyat bunuh diri...","Negatif"
"@kenzojaya_ @Mdy_Asmara1701 Ditunda sementara gegara lebih mentingin pemerataan sosial ekonomi wilayah Indonesia biar ga timpang tindih. Ikn juga yang nempatin pemerintah pusat ekonomi tetep aja di daerah Jabodetabekjur yang bakal jadi wilayah aglomerasi","Negatif"
"Pemerintah sedang matangkan rencana pemindahan ASN ke IKN https://t.co/31sipXJIzU","Positif"
"IKN Nusantara akan memberikan dampak positif bagi bangsa Indonesia #KotaDuniaUntukSemua https://t.co/AT2UhR5uvE","Positif"
"IKN Nusantara akan memberikan dampak positif bagi bangsa Indonesia #KotaDuniaUntukSemua https://t.co/ofJ2SaCeix","Positif"
"IKN Nusantara akan memberikan dampak positif bagi bangsa Indonesia #KotaDuniaUntukSemua https://t.co/gzLo6EdNEQ","Positif"
"@VIVAcoid Melanjutkan ikn yang ga guna itu maksud Lo????","Negatif"
"Pemerintah sedang menyiapkan kuota khusus bagi masyarakat lokal yang hendak menjadi pegawai negeri sipil di IKN Nusantara. https://t.co/S6BBzSUfFh","Positif"
"@howlydei @megatKT @asumsico Ya bikin skema hutang baru (jual SBN kan bisa). Itu IKN dan Bansos waktu Covid ya sebagian besar dari SBN jangka panjang (ada yg tenor 50 tahun). Cuma kendalanya tingkat fraud (kejahatan) keuangan di Indonesia ini sangat tingg","Negatif"
"@ExNarkoboyz justru IKN bukan pemerataan bego banget dah ah","Negatif"
"Menteri PPN/Kepala Bappenas Suharso Monoarfa membantah tudingan investor enggan masuk ke proyek Ibu Kota Negara (IKN) Nusantara. https://t.co/tJcgYGQHHK","Positif"
"kalo emg IKN ini simbol pemerataan pembangunan dari segi mana yg rata? ini cuma mindahin. bahkan daerah Kalimantan yg lain (di luar daerah IKN) ga dapet apa2. org Sumatra Papua dapet apa dari IKN? IKN kan proyek nasional skala besar. tp yg dpet manfaatnya cm itu2 aja.","Negatif"
"-org2 ga perlu lg merantau ke ibu kota semua. IKN lanjut itu sama artinya menciptakan 'Jakarta' baru. orang2 kedepannya ttep akan merantau kesana. yg puluhan taun mendatang bisa aja daerah IKN ngalamin isu iklim &amp","Negatif"
"IKN juga gitu. jakarta full pembangunan gak merata solusinya: dipindah. padahal pertanyaannya kenapa jkt overload? knp org berbondong2 urbanisasi ke jkt? di jkt ada apa? solusi AMIN ya bikin kota kayak jkt tp ada 40. pembangunan lebih merata semua kota dapet manfaatnya","Positif"
"mulai masuk akal klo program upgrade 40 kota setara Jakarta itu lebih baik drpd IKN. lagi-lagi IKN ini kayak program susu dan makan gratis solusi instan. stunting ya dikasih makan. Jakarta full ya dipindah.","Negatif"
"prinsipnya dia mau memberi kesempatan ke semua kalangan. IKN itu program dg budget yg byk. kalo lanjut yg dapet manfaat cm org itu2 aja (Jakarta daerah IKN pemerintah dll). apalagi pas aku baca berita IKN ini didasari sbg simbol pembangunan. budget segitu untuk simbol?","Negatif"
"Gue paham kok grand design dipikiran Bos besar dengan pembangunan IKN dan juga pembangunan KC. but man... utopis","Negatif"
"random bgt lagi baca berita perencanaan tata kota IKN ada yg komen rental psnya nanti dmn min","Negatif"
"AHY Khawatir Pembangunan IKN Mangkrak Rakyat Jadi Menderita https://t.co/sMlhbSK6YI","Negatif"
"@AgusYudhoyono Sekedar info mas coba tanya sama bawahan mas Siapa yang memguasai lahan disekitar IKN pasti anda tercenagang mendengarnya apa berani menertibkan penguasa lahan² disekitar IKN atau Kaltim dan sekitarnya #Cumananya","Negatif"
"@cobeh2022 ya biarin wowok pindah ke IKN","Negatif"
"IKN Nusantara🇮🇩️","Positif"
"IKN Nusantara","Positif"
"Jd inget pas anaknya ditanyain investor IKN luar negeri malah nyuruh googling","Negatif"
"@qization Coba Chek ulang deh kak. Soalnya yang dipakai untuk IKN itu Hutan Monokultur. Walaupun gak ada IKN pohonnya akan tetap ditebang untuk industri kertas dan tissue. https://t.co/kkPkL2mmwi","Positif"
"TKN Prabowo-Gibran: Ada Capres Ketemu Dubes Israel di Singapura dan Tolak IKN serta Hilirisasi https://t.co/l4nMjBNlT8","Negatif"
"@abenriebe Iya dan kehadiran proyek IKN yg sarat sampah dan limbah itu akan semakin memperparah situasi yg emang sudah rusak sejak lama bwang https://t.co/KKnFk5R6Sg","Negatif"
"@tvOneNews @tvOneNews Sebelumnya Juli 2023: IKN kurang logis karena perekonomian dan kondisi masyarakat Indonesia sedang tidak baik-baik saja","Negatif"
"@mamangkesborr @zanepenjahit @asselerate Tapi kenyataannya emang begitu. Gw tinggal disamarinda lebih dari 6 tahun dan memang beberapa yang peduli tapi mayoritas masih banyak yang tidak peduli. Aksi nyatanya mereka pemilih terbesar untuk pembangunan ikn","Negatif"
"@neohistoria_id Lebih berani mengkritisi IKN daripada lahan tambang dan sawit","Negatif"
"@kopitem3 @Dw99935050Dwi @AgusYudhoyono sudah gak peduli lagi dengan yg pernah dia kritisi mengenai ikn saatnya menjilat dengan nikmat.. iya kan pak mentri?","Negatif"
"Dukung Investasi IKN AHY: Kita Tak Ingin Habis-habisan di APBN https://t.co/UO1VJK0zRX #TempoBisnis","Positif"
"Repost from @kementerian.atrbpn Proses pembangunan Ibu Kota Nusantara (IKN) terus berjalan. Di samping fokus melakukan pembangunan infrastruktur dan fasilitas di wilayah IKN ini pemerintah tengah berupaya menarik investasi dari dalam maupun luar negeri. Berkaitan dengan upaya https://t.co/f8u0iPjbx1","Positif"
"Semua instrumen akan terus bermain. sbenarnya bukan tentang pemilu tp tentang IKN yg hampir selesai &amp","Positif"
"@jellypastaa Masalahnya bukan IKN tpi tambang. Ayo mikirnya dibalik n positif. Tambang sdh ad sejak era dahulu2 dn tbukti smp skrg negara yg bpusat di jakarta g bisa menghentikanya. Smoga dgn mnghadirkan negara di pusat tambangnya maka akan lebih mudah or","Positif"
"Inilah Progres Pembangunan Hunian ASN BIN (Basan Intelijen Negara) di IKN. #ibukotanusantara #infrastrukturikn #pindahibukota https://t.co/cggxKxP8jc","Positif"
"Pemerintah segera buka rekrutmen ASN untuk penempatan di IKN kuota lebih dari 200.000. Ada sejumlah persyaratan kompetensi ASN yang akan dipindahkan ke IKN. Di antaranya menguasai literasi digital dan prinsip IKN. _ Wan Abud Jegel dispatch endgame Best Skill karina #MOCxIDF https://t.co/SCVPiEUJOP","Positif"
"@dewapuci Emang sih pada lebay. Kalimantan saatnya modern dgn IKN. Jangan jakarta dsktrny terus.","Positif"
"@dika_dikungz Agak laen emang IKN itu setara dengan gunung meletus","Negatif"
"@kurawa @BankDunia OBOR CINA : Sekutu culas indo tiongkok : Proyek ambisius IKN kereta cepat kekuasaan tambang Tenaga kerja bebas berkuasa. Undang-undang diatur kiblat tiongkok. Negeri ini berdaulat bertanyalah ke bayak ahli. Istana dihuni penjilat.","Negatif"
"@AgusYudhoyono ternyata IKN luar biasa ya","Positif"
"Terpopuler: Dulu Sempat Mengkritik Kini AHY Terpukau dengan IKN KPPU Bentuk Tim Khusus Investigasi Kenaikan Harga Beras https://t.co/aV5l9cgyA2 #TempoBisnis","Positif"
"@RajaJuliAntoni @AgusYudhoyono Beres 2 sertipikat tanah. #IKN #MelayaniProfesionalTerpercaya #KalimantanTimur","Positif"
"@kompascom Ujung2nya suruh pindah ke ikn utk ngatasi macet. Dahlah capek bener janjinya dl omdo bngt ktny kl jd pres gampang ngurusin ini itu tp ko..","Negatif"
"Cegah Ancaman Datangi IKN TNI Persiapkan 2 Batalion Dengan Ribuan Personel di Ibu Kota Baru https://t.co/78efdkt1CL","Positif"
"@RajaJuliAntoni @AgusYudhoyono Mas Menteri @AgusYudhoyono serahkan 2 sertipikat hak pakai seluas 49 7 hektar untuk Markas Komando Gabungan Wilayah Pertahanan II sebagai bentuk kesiapsiagaan pertahanan di lingkungan IKN dan sekitarnya.","Positif"
"@bengkeldodo Baguslah. Segera tinggalkan Jakarta. Termasuk kau... tinggal lah di IKN jangan cuman omon-omon IKN kau tapi tidak tinggal disana.","Negatif"
"repost @atr_bpn Halo #SobATRBPN Menteri ATR/Kepala BPN Agus Harimurti Yudhoyono (AHY) bersama Wamen ATR/Waka BPN Raja Juli Antony melakukan kunjungan kerja di Provinsi Kalimantan Timur tepatnya di Ibu Kota Nusantara atau IKN. https://t.co/JRpMCMzZlW","Positif"
"Ibu Kota Pindah ke IKN Tukin PNS di Jakarta Maksimal 30 Persen https://t.co/cG8vWo0jiy #TempoFoto","Positif"
"Ya apalagi dengan ketambahan IKN kan","Negatif"
"@KompasTV Pilgub kaltim aja pak seru disini pak ada IKN pak bosen pak di jakarta mulu.","Negatif"
"@abenriebe @piyopikavet Sorry ralat bukan hanya IKN . Jangan giring opini supaya pembangunan IKN bukan salah satu faktornya. Itu juga ada kontribusinya","Positif"
"@Samir93348900 @H4T14K4LN4L42 Bjiiiiir aku milih 01 tp kena 02 effect di balikpapan wooooy.. aku cuma bisa bilang nah kaaaan apa jar ku ikam kada paasian dipadahi jangan pilih 02 gasan IKN haja","Negatif"
"@whreverur21 ka rama hrs ke ikn utk melihat bukti nyata pengerjaan ikn","Positif"
"@bengkeldodo Bayar sendiri ya ikn...hii jangan menindas rakyat dalam pembayara hutang dng segala pajak di naikin ya...ana dukung klo buat sejahtra rakyat tapi klo di lihat pemerintah dalam keadaan bobrok masih di paksain..tapi ana tunggu samape indinesia","Negatif"
"JANGAN MAU DI ALIH KAN PERHATIAN KE PILPRES SAJA . EKONOMI KITA HANCUUUR KALIMANTAN DI JUAL .INDONESIA JADI NEGARA GAGALTER SANDRA KHO PHING HO GARA ! 2 JOKO PKI GILA INFRASRUKTUR BANGUN ISTANA DI IKN BUAT DIA . BUKAN MASALAH PILPRES TAPI KEHANCURAANEKONOMI KITA","Negatif"
"@ekky1995 ada berbagai penyebab yang bisa bunuh pesut dari dulu kala belum diatasi pun yang disalahin ikn yang baru beberapa hari","Negatif"
"@supriyanto45086 @DokterTifa Kita tunggu aja ikn sampe dimana klo benar untuk pemerintah menjadi lebih baik dalam keadaan pemerintah SEKARANG CARUT MARUT BIROKRASI..GIMNA MAU MAJU..klo terus rakyat jadi kobran..kita liat sampe ke anak cucu sengsara apa se","Negatif"
"@VIVAcoid dia terpukau lihat IKN .. saya tertawa melihat beliau","Negatif"
"@sobatnt_ udah pin lu tdr dl pin ini tone deaf bgt anjir mewahnya pejabat g bs dinormalisasiin. iye itu maksud pertanyaannya gmn org asli sana bs survive dgn adanya ikn yang ngebawa aparatur dr luar jatohnya mrk ga dpt senengnya malah lahannya keambil","Negatif"
"@zennakbaik @Matchabkngrinti @XboxQuest27 @M45Broo Jelas mas ..meski dah ada rancangan dari jaman dulu setidak nya lian sikon pa jokowi itu mgebangun ikn waktu covid ...di paksain...menurut gue yg bodo kenpa uang nya buat bikin lapangn kerja buat oranh yg","Negatif"
"@Matchabkngrinti @XboxQuest27 @M45Broo Ya kan daripd di jual sama orang luar ya manpaatin aja buat yg di gusur ..kan mensejahterakan rakyat bukan mensejahtrakan pegwai pemerintah hii...ana juga tau harus beli kan klo tinggal di ikn dan biaya sewa nya maha","Negatif"
"@small_mofo_Mk2 Agar iba sama pesut dan anti ikn","Negatif"
"Menteri ATR/Kepala BPN Agus Harimurti Yudhoyono mengungkapkan kesan pertama kalinya saat mengunjungi Ibu Kota Nusantara (IKN) di Kalimantan Timur. https://t.co/IpE2XkpsQn","Positif"
"@sobatnt_ ini gw ud bisa ngomong yang kalah menjelaskan blm si wkkwkwkw. gw g pduli ttg bapak lu gw nyinggung lu sbg anak tni yg bangga dgn ikn tapi buta bahwa rakyat di sana nasibnya jelek lu dengan mudahnya nanya kontribusinya apa anjeng kontribusi LU a","Negatif"
"Menteri ATR/BPN Agus Harimurti Yudhoyono mengungkapkan progres terbaru terkait pengadaan tanah di Ibu Kota Nusantara (IKN). https://t.co/HgjR3L9y4I","Positif"
"@RomitsuT Tulang sisa ahai jadi terpukau lihat IKN","Negatif"
